@id,rdf:type,skos:topConceptOf,skos:hasTopConcept[0],skos:hasTopConcept[1],skos:hasTopConcept[2],skos:hasTopConcept[3],skos:hasTopConcept[4],skos:inScheme,skos:broader,skos:related,rdfs:label,rdfs:comment,rdfs:definedBy,skos:prefLabel,skos:definition,skos:note,dcterms:source,pav:version
togafvoc:scheme,skos:ConceptScheme,,togafvoc:general_entity,togafvoc:business_architecture_component,togafvoc:data_architecture_component,togafvoc:application_architecture_component,togafvoc:technology_architecture_component,,,,TOGAF 9.2 Content Metamodel Vocabulary,This is SKOS vocabulary version of the TOGAF Content Metamodel ontology. It is based on the TOGAF 9.2 Content Metamodel Ontology.,,TOGAF 9.2 Content Metamodel Vocabulary,,,https://pubs.opengroup.org/architecture/togaf91-doc/arch/chap34.html,2.0.0
togafvoc:general_entity,skos:Concept,togafvoc:scheme,,,,,,togafvoc:scheme,,,,,,General Entity,,,https://pubs.opengroup.org/architecture/togaf91-doc/arch/chap34.html,
togafvoc:business_architecture_component,skos:Concept,togafvoc:scheme,,,,,,togafvoc:scheme,,,,,togaf:BusinessArchitecture,Business Architecture,"A representation of holistic, multi-dimensional business views of: capabilities, end-to-end value delivery, information, and organizational structure; and the relationships among these business views and strategies, products, policies, initiatives, and stakeholders.","Business Architecture relates business elements to business goals and elements of other domains. Business Architecture is described in Part II, 7. Phase B: Business Architecture.",https://pubs.opengroup.org/architecture/togaf9-doc/arch/chap02.html,
togafvoc:data_architecture_component,skos:Concept,togafvoc:scheme,,,,,,togafvoc:scheme,,,,,togaf:DataArchitecture,Data Architecture,"A description of the structure and interaction of the enterprise's major types and sources of data, logical data assets, physical data assets, and data management resources.","Data Architecture is described in Part II, 9. Phase C: Information Systems Architectures - Data Architecture.",https://pubs.opengroup.org/architecture/togaf9-doc/arch/chap02.html,
togafvoc:application_architecture_component,skos:Concept,togafvoc:scheme,,,,,,togafvoc:scheme,,,,,togaf:ApplicationArchitecture,Application Architecture,A description of the structure and interaction of the applications as groups of capabilities that provide key business functions and manage the data assets.,"Application Architecture is described in Part II, 10. Phase C: Information Systems Architectures - Application Architecture.",https://pubs.opengroup.org/architecture/togaf9-doc/arch/chap02.html,
togafvoc:technology_architecture_component,skos:Concept,togafvoc:scheme,,,,,,togafvoc:scheme,,,,,togaf:TechnologyArchitecture,Technology Architecture,A description of the structure and interaction of the technology services and technology components.,"Technology Architecture is described in Part II, 11. Phase D: Technology Architecture.",https://pubs.opengroup.org/architecture/togaf9-doc/arch/chap02.html,
togafvoc:actor,skos:Concept,,,,,,,togafvoc:scheme,togafvoc:business_architecture_component,togafvoc:role,,,togaf:Actor,Actor,"A person, organization, or system that has a role that initiates or interacts with activities; for example, a sales representative who travels to visit customers. Actors may be internal or external to an organization. In the automotive industry, an original equipment manufacturer would be considered an actor by an automotive dealership that interacts with its supply chain activities.",,https://pubs.opengroup.org/architecture/togaf91-doc/arch/chap34.html,
togafvoc:application_component,skos:Concept,,,,,,,togafvoc:scheme,togafvoc:application_architecture_component,,,,,Application Component,"An encapsulation of application functionality aligned to implementation structure. For example, a purchase request processing application.",Is not a part of TOGAF 9.2 Figure 30-7: Relationships between Entities in the Full Metamodel,https://pubs.opengroup.org/architecture/togaf91-doc/arch/chap34.html,
togafvoc:assumption,skos:Concept,,,,,,,togafvoc:scheme,togafvoc:general_entity,,,,togaf:Assumption,Assumption,"A statement of probable fact that has not been fully validated at this stage, due to external constraints. For example, it may be assumed that an existing application will support a certain set of functional requirements, although those requirements may not yet have been individually validated.",,https://pubs.opengroup.org/architecture/togaf91-doc/arch/chap34.html,
togafvoc:business_capability,skos:Concept,,,,,,,togafvoc:scheme,togafvoc:business_architecture_component,,,,togaf:BusinessCapability,Business Capability,A particular ability that a business may possess or exchange to achieve a particular purpose.,,https://pubs.opengroup.org/architecture/togaf91-doc/arch/chap34.html,
togafvoc:business_service,skos:Concept,,,,,,,togafvoc:scheme,togafvoc:business_architecture_component,,,,togaf:BusinessService,Business Service,Supports business capabilities through an explicitly defined interface and is explicitly governed by an organization.,,https://pubs.opengroup.org/architecture/togaf91-doc/arch/chap34.html,
togafvoc:capability,skos:Concept,,,,,,,togafvoc:scheme,togafvoc:general_entity,,,,togaf:Capability,Capability,"A business-focused outcome that is delivered by the completion of one or more work packages. Using a capability-based planning approach, change activities can be sequenced and grouped in order to provide continuous and incremental business value.",,https://pubs.opengroup.org/architecture/togaf91-doc/arch/chap34.html,
togafvoc:constraint,skos:Concept,,,,,,,togafvoc:scheme,togafvoc:general_entity,,,,togaf:Constraint,Constraint,"An external factor that prevents an organization from pursuing particular approaches to meet its goals. For example, customer data is not harmonized within the organization, regionally or nationally, constraining the organization's ability to offer effective customer service.",,https://pubs.opengroup.org/architecture/togaf91-doc/arch/chap34.html,
togafvoc:contract,skos:Concept,,,,,,,togafvoc:scheme,togafvoc:business_architecture_component,,,,togaf:Contract,Contract,An agreement between a service consumer and a service provider that establishes functional and non-functional parameters for interaction.,,https://pubs.opengroup.org/architecture/togaf91-doc/arch/chap34.html,
togafvoc:control,skos:Concept,,,,,,,togafvoc:scheme,togafvoc:business_architecture_component,,,,togaf:Control,Control,"A decision-making step with accompanying decision logic used to determine execution approach for a process or to ensure that a process complies with governance criteria. For example, a sign-off control on the purchase request processing process that checks whether the total value of the request is within the sign-off limits of the requester, or whether it needs escalating to higher authority.",,https://pubs.opengroup.org/architecture/togaf91-doc/arch/chap34.html,
togafvoc:course_of_action,skos:Concept,,,,,,,togafvoc:scheme,togafvoc:business_architecture_component,,,,togaf:CourseofAction,Course of Action,"Direction and focus provided by strategic goals and objectives, often to deliver the value proposition characterized in the business model.",,https://pubs.opengroup.org/architecture/togaf91-doc/arch/chap34.html,
togafvoc:data_entity,skos:Concept,,,,,,,togafvoc:scheme,togafvoc:data_architecture_component,,,,togaf:DataEntity,Data Entity,"An encapsulation of data that is recognized by a business domain expert as a thing. Logical data entities can be tied to applications, repositories, and services and may be structured according to implementation considerations.",,https://pubs.opengroup.org/architecture/togaf91-doc/arch/chap34.html,
togafvoc:driver,skos:Concept,,,,,,,togafvoc:scheme,togafvoc:business_architecture_component,,,,togaf:Driver,Driver,"An external or internal condition that motivates the organization to define its goals. An example of an external driver is a change in regulation or compliance rules which, for example, require changes to the way an organization operates; i.e., Sarbanes-Oxley in the US.",,https://pubs.opengroup.org/architecture/togaf91-doc/arch/chap34.html,
togafvoc:event,skos:Concept,,,,,,,togafvoc:scheme,togafvoc:business_architecture_component,,,,togaf:Event,Event,An organizational state change that triggers processing events; may originate from inside or outside the organization and may be resolved inside or outside the organization.,,https://pubs.opengroup.org/architecture/togaf91-doc/arch/chap34.html,
togafvoc:function,skos:Concept,,,,,,,togafvoc:scheme,togafvoc:business_architecture_component,,,,togaf:Function,Function,"Delivers business capabilities closely aligned to an organization, but not necessarily explicitly governed by the organization. Also referred to as ""business function"".",,https://pubs.opengroup.org/architecture/togaf91-doc/arch/chap34.html,
togafvoc:gap,skos:Concept,,,,,,,togafvoc:scheme,togafvoc:general_entity,,,,togaf:Gap,Gap,"A statement of difference between two states. Used in the context of gap analysis, where the difference between the Baseline and Target Architecture is identified.","Gap analysis is described in Part III, 27. Gap Analysis.",https://pubs.opengroup.org/architecture/togaf91-doc/arch/chap34.html,
