@id,rdf:type,owl:inverseOf,rdfs:label,rdfs:comment,rdfs:domain
togaf:actorGeneratesAndOrResolvesEvent,owl:ObjectProperty,togaf:eventIsGeneratedAndOrResolvedByActor,generates and/or resolves,,
togaf:actorPerformsAndOrInteractsWithFunction,owl:ObjectProperty,togaf:functionIsPerformedByAndOrSupportsActor,performs and/or interacts with,,
togaf:actorTriggersAndOrParticipatesInValueStream,owl:ObjectProperty,togaf:valueStreamIsTriggeredByAndOrInvolvesActor,triggers and/or participates in,,
togaf:actorBelongsToOrganizationUnit,owl:ObjectProperty,togaf:organizationUnitContainsActor,belongs to,,
togaf:actorPerformsTaskInRole,owl:ObjectProperty,togaf:roleIsPerformedByActor,performs task in,,
togaf:actorConsumesBusinessService,owl:ObjectProperty,togaf:businessServiceIsProvidedToActor,consumes,,
togaf:actorDecomposesActor,owl:ObjectProperty,togaf:actorIsDecomposedByActor,decomposes,,
togaf:actorIsDecomposedByActor,owl:ObjectProperty,,is decomposed by,,
togaf:actorSuppliesOrConsumesDataEntity,owl:ObjectProperty,togaf:dataEntityIsSuppliedOrConsumedByActor,supplies/consumes,,
togaf:dataEntityIsSuppliedOrConsumedByActor,owl:ObjectProperty,,is supplied/consumed by,,
togaf:businessCapabilityIsInfluencedByCourseOfAction,owl:ObjectProperty,togaf:courseOfActionInfluencesBusinessCapability,is influenced by,,
togaf:businessCapabilityIsDeliveredByFunction,owl:ObjectProperty,togaf:functionDeliversBusinessCapability,is delivered by,,
togaf:businessCapabilityIsUsedByOrganizationUnit,owl:ObjectProperty,togaf:organizationUnitUsesBusinessCapability,is used by,,
togaf:businessCapabilityIsOperationalizedByProcess,owl:ObjectProperty,togaf:processOperationalizesBusinessCapability,is operationalized by,,
togaf:processOperationalizesBusinessCapability,owl:ObjectProperty,,operationalizes,,
togaf:businessCapabilityEnablesValueStream,owl:ObjectProperty,togaf:valueStreamIsEnabledByBusinessCapability,enables,,
togaf:businessCapabilityDecomposesBusinessCapability,owl:ObjectProperty,togaf:businessCapabilityIsDecomposedByBusinessCapability,decomposes,,
togaf:businessCapabilityIsDecomposedByBusinessCapability,owl:ObjectProperty,,is decomposed by,,
togaf:capabilityIsDeliveredByWorkPackage,owl:ObjectProperty,togaf:workPackageDeliversCapability,is delivered by,,
togaf:contractGovernsAndMeasuresBusinessService,owl:ObjectProperty,togaf:businessServiceIsGovernedAndMeasuredByContract,governs and measures,,
togaf:contractMeetsServiceQuality,owl:ObjectProperty,togaf:serviceQualityAppliesToContract,meets,,
togaf:controlEnsuresCorrectOperationOfProcess,owl:ObjectProperty,togaf:processIsGuidedByControl,ensures correct operation of,,
togaf:courseOfActionInfluencesBusinessCapability,owl:ObjectProperty,,influences,,
togaf:courseOfActionRealizesGoal,owl:ObjectProperty,togaf:goalIsRealizedByCourseOfAction,realizes,,
togaf:courseOfActionInfluencesFunction,owl:ObjectProperty,togaf:functionIsInfluencedByCourseOfAction,influences,,
togaf:functionIsInfluencedByCourseOfAction,owl:ObjectProperty,,is influenced by,,
togaf:courseOfActionInfluencesValueStream,owl:ObjectProperty,togaf:valueStreamIsInfluencedByCourseOfAction,influences,,
togaf:dataEntityResidesWithinLogicalDataComponent,owl:ObjectProperty,togaf:logicalDataComponentEncapsulatesDataEntity,resides within,,
togaf:dataEntityIsAccessedAndUpdatedThroughBusinessService,owl:ObjectProperty,togaf:businessServiceProvidesAndOrConsumesDataEntity,is accessed and updated through,,
togaf:dataEntityUsesInformationSystemService,owl:ObjectProperty,togaf:informationSystemServiceIsUsedByDataEntity,uses,,
togaf:dataEntityDecomposesDataEntity,owl:ObjectProperty,togaf:dataEntityIsDecomposedByDataEntity,decomposes,,
togaf:dataEntityIsDecomposedByDataEntity,owl:ObjectProperty,,is decomposed by,,
togaf:dataEntityRelatesToDataEntity,owl:SymmetricProperty,,relates to,,
togaf:driverCreatesGoal,owl:ObjectProperty,togaf:goalAddressesDriver,creates,,
togaf:driverMotivatesOrganizationUnit,owl:ObjectProperty,togaf:organizationUnitIsMotivatedByDriver,motivates,,
togaf:driverDecomposesDriver,owl:ObjectProperty,togaf:driverIsDecomposedByDriver,decomposes,,
togaf:driverIsDecomposedByDriver,owl:ObjectProperty,,is decomposed by,,
togaf:eventIsGeneratedAndOrResolvedByActor,owl:ObjectProperty,,is generated and/or resolved by,,
togaf:eventIsResolvedAndOrGeneratedByProcess,owl:ObjectProperty,togaf:processResolvesAndOrGeneratesEvent,is resolved and/or generated by,,
togaf:eventIsResolvedByBusinessService,owl:ObjectProperty,togaf:businessServiceResolvesEvent,is resolved by,,
togaf:functionIsPerformedByAndOrSupportsActor,owl:ObjectProperty,,is performed by and/or supports,,
togaf:functionDeliversBusinessCapability,owl:ObjectProperty,,delivers,,
togaf:functionIsOwnedByOrganizationUnit,owl:ObjectProperty,togaf:organizationUnitOwnsFunction,is owned by,,
togaf:functionIsRealizedByAndOrSupportsProcess,owl:ObjectProperty,togaf:processDecomposesAndOrOrchestratesFunction,is realized by and/or supports,,
togaf:functionIsBoundedByBusinessService,owl:ObjectProperty,togaf:businessServiceProvidesGovernedInterfaceToAccessFunction,is bounded by,,
togaf:functionDecomposesFunction,owl:ObjectProperty,togaf:functionIsDecomposedByFunction,decomposes,,
